A16VSBDVWGO1AM,FANTASTIC_PLUS,98.2,305,99.35%,0,100%,100%,0,100%,DCR
A174B3WJFH38MV,FANTASTIC,92.22,1270,99.22%,787,100%,92.86%,0,90.17%,DNR_DPMO
A1B8U1WJMIJ0TX,POOR,45,315,98.75%,12698,100%,0%,1,100%,DNR_DPMO
A1BC9YN9NCBUS,FANTASTIC_PLUS,97.48,942,99.16%,-,100%,100%,0,97.62%,DCR
A1ETXSPHUGD7LN,FAIR,60.18,978,97.02%,1022,100%,89.47%,0,100%,DCR
A1S4F6JMS94IQI,FANTASTIC_PLUS,100,100,100%,-,100%,-,0,-,-
A1ULTTNN14LLJ2,FANTASTIC_PLUS,93.39,936,98.84%,-,98.41%,100%,0,90.37%,DCR
A1Y06N9ZPMC3TD,FANTASTIC_PLUS,96.51,1092,99.82%,916,99.15%,100%,0,97.48%,DNR_DPMO
A1Y1BMIL6SS8PT,FANTASTIC_PLUS,94.24,1035,98.95%,966,100%,100%,0,100%,DCR
A1YEESS4TBTRIY,FANTASTIC_PLUS,98.11,726,99.32%,-,100%,100%,0,100%,DCR
A1YGLT6OAJGBWC,GREAT,79.72,1231,98.72%,812,99.7%,66.67%,0,92.69%,DNR_DPMO
A1Z22YRSC4HN45,FANTASTIC_PLUS,96.33,1071,99.44%,934,100%,100%,0,100%,DNR_DPMO
A205W0HCLELAJS,POOR,37.5,210,97.22%,14286,42.31%,100%,0,100%,DNR_DPMO
A24EJ2KSPHNNBH,FANTASTIC,87.74,1370,98.63%,730,98.33%,93.33%,0,92.39%,DCR
A25YIO5GU1WRGQ,FANTASTIC,92.03,814,98.79%,-,97.39%,100%,0,100%,DCR
A2672ZQHS62UQD,FAIR,59.59,1088,99.36%,7353,99.2%,75%,0,94.23%,DNR_DPMO
A26BX5VZTGG82D,FANTASTIC_PLUS,98.02,188,99.47%,0,100%,100%,0,93.65%,DCR
A273KWGUMRL1WC,FAIR,50,226,90.4%,-,96.55%,16.67%,0,100%,DCR
A2879TAAF5J1UU,FANTASTIC_PLUS,98.85,964,100%,0,98.86%,100%,0,97.52%,POD
A29M5B159J19AE,FAIR,54,1209,97.89%,1654,99.36%,83.33%,0,90.59%,DCR
A2HY3PEE0I4KO8,FANTASTIC_PLUS,96.43,1362,99.78%,734,98.99%,100%,0,94.47%,DNR_DPMO
A2K5YLZ6PCCGZH,FAIR,52.66,1142,98.11%,1751,93.46%,100%,0,82.07%,DNR_DPMO
A2KNBTJYF1QPFU,FANTASTIC_PLUS,97.13,1384,99.86%,723,99.2%,-,0,97.85%,DNR_DPMO
A2LBJKMTQ6WMO4,POOR,31.72,1032,97.08%,1938,97.62%,75%,0,81.87%,DNR_DPMO
A2N0TIS3GT3RA3,FANTASTIC,91.34,1065,98.07%,0,98.7%,99.81%,0,97.69%,DCR
A2X3O7342NU7CC,FAIR,67.37,1166,98.15%,-,91.67%,78.57%,0,92.16%,CC
A2YOCL8PM7MT4S,FANTASTIC_PLUS,100,265,100%,-,100%,100%,0,-,-
A310YKEDTBY3SA,FANTASTIC_PLUS,99.12,754,99.87%,-,99.38%,100%,0,100%,DCR
A33FLYDPNMXDF,FANTASTIC_PLUS,96.07,361,98.9%,-,100%,100%,0,100%,DCR
A35G9CHX9CCXQA,FANTASTIC_PLUS,97.11,1230,99.27%,0,98.97%,100%,0,100%,DCR
A39FXN38RKBA0N,GREAT,84.6,275,99.28%,-,98.92%,-,0,76.99%,DEX
A3DMMSGNR396QL,GREAT,81.17,1183,98.42%,0,96.21%,100%,0,97.19%,DCR
A3FTEB3HAX9COO,GREAT,74.18,996,99.8%,3012,100%,100%,0,96.64%,DNR_DPMO
A3G3RGIBDUQX62,GREAT,74.08,280,97.9%,-,98.9%,-,0,100%,DCR
A3HUKJRI41R38I,FANTASTIC_PLUS,98.72,217,99.54%,-,100%,100%,0,100%,DCR
A3N49RXVTIEA9V,POOR,47.68,1228,97.62%,814,64.18%,66.67%,0,94.13%,DCR
A3OKXFNF06ZM3M,POOR,47.52,1018,96.31%,982,95.86%,82.61%,0,96.87%,DCR
A9LXPME9YBI2Q,FAIR,60.27,1140,97.6%,877,100%,77.78%,0,97.07%,DCR
ADX5JM3PRIFEI,FAIR,61.52,1067,94.84%,-,99.13%,50%,0,96.72%,DCR
ARI0X3K0YGQ13,GREAT,80.27,1071,98.17%,-,100%,88.46%,0,96.23%,DCR
