Transporter_ID,Status,Delivered,DCR,DNR_DPMO,POD,CC,CE,DEX,Focus_Area
A16VSBDVWGO1AM,FANTASTIC,505,99.21%,-,100%,80%,0,84.58%,CC,
A1LKOO7RZ23Q3T,FANTASTIC_PLUS,745,99.47%,-,97.01%,100%,0,90.16%,POD,
A1ULTTNN14LLJ2,FANTASTIC,976,98.49%,-,98.73%,95.45%,0,100%,DCR,
A1Y06N9ZPMC3TD,FAIR,891,98.56%,-,100%,100%,1,97.41%,CE,
A1Y1BMIL6SS8PT,FANTASTIC_PLUS,1023,98.84%,0,98.75%,100%,0,100%,DCR,
A1YEESS4TBTRIY,GREAT,552,99.46%,7246,98.68%,100%,0,100%,DNR_DPMO,
A1YGLT6OAJGBWC,FANTASTIC,1332,100%,1502,99.55%,100%,0,91.3%,DNR_DPMO,
A174B3WJFH38MV,POOR,526,94.27%,-,98.63%,75%,0,94.48%,DCR,
A24EJ2KSPHNNBH,GREAT,1266,98.29%,-,100%,93.75%,0,90.98%,DCR,
A25YIO5GU1WRGQ,FANTASTIC_PLUS,980,99.69%,0,98.87%,100%,0,93.86%,POD,
A2879TAAF5J1UU,FANTASTIC_PLUS,1315,99.7%,760,98.73%,95.83%,0,97.14%,DNR_DPMO,
A29M5B159J19AE,FANTASTIC,1215,99.02%,1646,98.66%,100%,0,88.21%,DNR_DPMO,
A2HY3PEE0I4KO8,GREAT,1147,100%,2616,98.9%,100%,0,94.76%,DNR_DPMO,
A2K5YLZ6PCCGZH,POOR,1189,96.04%,841,96.3%,100%,1,94.69%,DCR,
A2KJAOQUI1I1L0,FANTASTIC,883,99.66%,-,92.31%,100%,0,96.51%,DCR,
A2KNBTJYF1QPFU,FANTASTIC,1043,100%,-,96.43%,100%,0,100%,POD,
A2LBJKMTQ6WMO4,POOR,625,97.66%,9600,100%,-,0,100%,DNR_DPMO,
A2M25A0NHGSVJ5,POOR,569,97.26%,-,89.66%,100%,0,100%,DCR,
A2N0TIS3GT3RA3,FANTASTIC_PLUS,586,98.82%,0,100%,100%,0,94.93%,DCR,
A2W4Q5QQNRXUP,GREAT,883,99.66%,5663,97.37%,100%,0,86.78%,DNR_DPMO,
A2X3O7342NU7CC,FANTASTIC,866,98.86%,1155,92.31%,100%,0,100%,DNR_DPMO,
A2YOCL8PM7MT4S,FANTASTIC_PLUS,452,100%,-,98.8%,-,0,100%,POD,
A310YKEDTBY3SA,GREAT,1079,99.81%,2780,100%,100%,0,96.38%,DNR_DPMO,
A33FLYDPNMXDF,FANTASTIC,461,98.09%,-,100%,100%,0,94.28%,DCR,
A35G9CHX9CCXQA,FANTASTIC_PLUS,1076,99.45%,0,98.21%,100%,0,96.38%,DCR,
A1ETXSPHUGD7LN,FANTASTIC,1205,98.13%,830,100%,92.86%,0,100%,DCR,
A3DMMSGNR396QL,FANTASTIC_PLUS,998,98.91%,-,98.75%,100%,0,93.7%,DCR,
A3FTEB3HAX9COO,FANTASTIC_PLUS,1090,100%,917,100%,100%,0,89.08%,DNR_DPMO,
A3G3RGIBDUQX62,FANTASTIC_PLUS,228,100%,-,100%,100%,0,91.06%,DEX,
A3HUKJRI41R38I,FANTASTIC_PLUS,211,100%,0,100%,100%,0,100%,-,
A3N49RXVTIEA9V,POOR,995,98.51%,2010,100%,55.56%,0,93.49%,DNR_DPMO,
A3OKXFNF06ZM3M,POOR,409,96.69%,2445,100%,80%,1,100%,DNR_DPMO,
A3T3CGXT12B6KQ,FANTASTIC,129,99.23%,-,96.67%,100%,0,-,DCR,
A3V6CQHCF61HNK,FANTASTIC,64,100%,-,83.33%,-,0,-,POD,
A1Z22YRSC4HN45,FANTASTIC_PLUS,874,99.21%,1144,100%,100%,0,97.1%,DNR_DPMO,
ADX5JM3PRIFEI,FANTASTIC_PLUS,1102,99.64%,907,97.76%,100%,0,89.23%,DNR_DPMO,
AJGKH17AAN8DW,FANTASTIC,507,100%,-,96.72%,100%,0,100%,POD,
ARI0X3K0YGQ13,FANTASTIC,984,99.39%,0,98.44%,62.5%,0,92.41%,CC,
A9LXPME9YBI2Q,FANTASTIC_PLUS,633,99.37%,-,100%,100%,0,100%,DCR,
A35VXK8UR7N37,GREAT,753,99.21%,1328,92.12%,100%,0,85.41%,DNR_DPMO,
A1BC9YN9NCBUS,FANTASTIC,988,99.1%,-,98.25%,90%,0,92.78%,CC,
